time,Fx,Fy,Fz
4.38,2.92855162702556,-18.5395314498658,-169.08444948857
4.39,2.92548232686694,-18.6148663569284,-168.94857697343
4.4,2.92935398589949,-18.6370719133725,-169.777559919013
4.41,2.94068641042154,-18.5737541439247,-171.025202755772
4.42,2.95362691908526,-18.4879762718908,-171.868925222346
4.43,2.96258606390152,-18.4351802676771,-171.770535441595
4.44,2.95882308885735,-18.4512231557428,-170.768326998472
4.45,2.93830682975726,-18.5339305370283,-169.626397538989
4.46,2.92343255357494,-18.6111892729727,-169.079356576507
4.47,2.92710769348245,-18.6361284935837,-169.438756703656
4.48,2.94715379709108,-18.5834098862769,-170.44922967785
4.49,2.95566249513384,-18.4968188188079,-171.426354832799
4.5,2.95488779782063,-18.4414958164264,-171.752795994213
4.51,2.95038420407257,-18.461694467209,-171.19193544846
4.52,2.94099519071243,-18.5279057642663,-170.163919974606
4.53,2.93342266516583,-18.5886295337407,-169.3869651142
4.54,2.93467925182876,-18.6098000467398,-169.337250960563
4.55,2.94218706697853,-18.5822213037281,-170.012770833568
4.56,2.94904991676479,-18.5234916421188,-170.945983867323
4.57,2.95078949814681,-18.4752317648183,-171.535804001711
4.58,2.94868365814387,-18.4730011124756,-171.398011406398
4.59,2.94435567507138,-18.5113613256636,-170.626307394566
4.6,2.94160214068305,-18.5554712164943,-169.789277877415
4.61,2.9390266963303,-18.5831818817558,-169.427691217598
4.62,2.9395562218503,-18.5811297778759,-169.740422854681
4.63,2.94140565095359,-18.5528153766625,-170.501650827489
4.64,2.94533748279294,-18.5135215009561,-171.207860485373
4.65,2.94877976153323,-18.4885949551557,-171.408627725464
4.66,2.95011841452784,-18.4928501661667,-170.965039008772
4.67,2.946032483739,-18.5200988284486,-170.202258171577
4.68,2.94100404105201,-18.5584761857027,-169.647259070868
4.69,2.93766232670386,-18.5841415892011,-169.631919365402
4.7,2.93719507842621,-18.5785447979673,-170.153811898979
4.71,2.94040990929971,-18.5433960026866,-170.847133619867
4.72,2.94938028313778,-18.5016126432573,-171.272224680903
4.73,2.95491214206922,-18.4770995710889,-171.145200264476
4.74,2.94991672394176,-18.4919943682603,-170.560494890046
4.75,2.94161497973746,-18.5420791133179,-169.937197342277
4.76,2.93498056740556,-18.5837803953366,-169.675344750705
4.77,2.93351052275291,-18.5944018645116,-169.929286965135
4.78,2.94207139031793,-18.5639985719825,-170.514382330772
4.79,2.94963658633178,-18.5086488158362,-171.042049589632
4.8,2.95356017833153,-18.4721558171311,-171.17648538891
4.81,2.95179442975241,-18.4807670858603,-170.823853802321
4.82,2.94205720252496,-18.5277598994212,-170.240938192335
4.83,2.93404089796078,-18.5795595128525,-169.823626999035
4.84,2.93491017964809,-18.5998242401306,-169.833177638255
4.85,2.9421992768627,-18.5713007045283,-170.24831598654
4.86,2.94762423648818,-18.5180496723059,-170.780098495736
4.87,2.9534447178452,-18.4793720588474,-171.089413252503
4.88,2.95034060143341,-18.4806464273353,-170.96807788426
4.89,2.9420394631841,-18.5196573521845,-170.50778830801
4.9,2.93722454547175,-18.5689184881535,-170.035476193499
4.91,2.93593561279361,-18.5907400744138,-169.854689600132
4.92,2.94118921318335,-18.5720183830874,-170.074597446717
4.93,2.94750813359748,-18.5308280808923,-170.531583496629
4.94,2.95044456510163,-18.4933940517524,-170.922260559923
4.95,2.94859663013468,-18.4871737552487,-170.996830591622
4.96,2.94412630338365,-18.515246628113,-170.709618573935
4.97,2.93996325993824,-18.5513509592338,-170.266010271687
4.98,2.93774657122165,-18.5739147128775,-169.966056024189
4.99,2.94154682029971,-18.570164995766,-169.993811842887
5,2.94592854828378,-18.5427280051613,-170.322509909513
5.01,2.94646679492093,-18.5123416553697,-170.72256463985
5.02,2.9476867625088,-18.4993450220338,-170.938096899681
5.03,2.94552163855529,-18.5098167864918,-170.8288980672
5.04,2.94274437715762,-18.5336026660376,-170.475168549739
5.05,2.94073025844824,-18.5570943880983,-170.126136394665
5.06,2.94090777616235,-18.5668937218296,-169.999767732155
5.07,2.94308110375402,-18.5553615400493,-170.175771562778
5.08,2.94435824036527,-18.5312953747638,-170.52801047628
5.09,2.94598424870346,-18.5100675987837,-170.819708476479
5.1,2.94710155193983,-18.5060393057445,-170.867762571183
5.11,2.94526250331475,-18.518757821252,-170.637358365413
5.12,2.94283412122168,-18.5433631150319,-170.297590109147
5.13,2.94024819170692,-18.5633843497246,-170.073089259057
5.14,2.94015737865335,-18.5630005212176,-170.103216872983
5.15,2.94373758786537,-18.5449752411577,-170.363534145361
5.16,2.94581820998243,-18.5196109517729,-170.674786309594
5.17,2.94766409924495,-18.5024981160912,-170.834718503703
5.18,2.9470937374094,-18.5098744248688,-170.737568836271
5.19,2.94342931178676,-18.5340587444009,-170.456162158488
5.2,2.93985078354581,-18.5569944864331,-170.186176780147
5.21,2.93959807312462,-18.5665150680515,-170.098686196735
5.22,2.94290513534772,-18.5532447894736,-170.247336271804
5.23,2.94597048364436,-18.5252039396988,-170.526626363388
5.24,2.94789805820313,-18.5060857280086,-170.753050356298
5.25,2.94748569456679,-18.5074852210405,-170.777138699171
5.26,2.94205101714417,-18.5280149295013,-170.584640791435
5.27,2.94043440532832,-18.5519617926683,-170.313444665482
5.28,2.9408786007905,-18.5639002396406,-170.145196503336
5.29,2.94261855139514,-18.5544909675902,-170.184365546002
5.3,2.94575992880053,-18.5319923339911,-170.398867445321
5.31,2.94743085370186,-18.5135367108946,-170.646047084567
5.32,2.94556196028089,-18.5097193088437,-170.758678569089
5.33,2.94334282464303,-18.5251512761263,-170.666767195658
5.34,2.94112775263188,-18.5454971596337,-170.43777433128
5.35,2.94130374246973,-18.555906748102,-170.227631755403
5.36,2.94350028632104,-18.5530348409554,-170.175537773014
5.37,2.9457167288274,-18.5372028841441,-170.304293921313
5.38,2.94530785677,-18.5210706844329,-170.529770286942
5.39,2.94488640915378,-18.5166546012271,-170.699894286082
5.4,2.94376494556911,-18.5235680201144,-170.701720396821
5.41,2.94259049617595,-18.5366336846304,-170.542478656872
5.42,2.94282923424133,-18.5474702206822,-170.330552136347
5.43,2.94397765160045,-18.5496419243164,-170.206962103347
5.44,2.94368482850949,-18.5417823440497,-170.248187969426
5.45,2.94469282874385,-18.5302933086293,-170.42345516154
5.46,2.94463899875451,-18.5224048080279,-170.615867141799
5.47,2.94285337281281,-18.5237096959629,-170.694251449511
5.48,2.94435403311457,-18.530705740278,-170.615046589665
5.49,2.94449912303684,-18.5397802892275,-170.432327014343
5.5,2.94294310841811,-18.5459776566668,-170.268124715558
5.51,2.94349518578596,-18.5462670103954,-170.232434340267
5.52,2.94310344806068,-18.537886705701,-170.34316845129
5.53,2.94330766473058,-18.5273329457963,-170.524287421754
